date,pm2_5,pm10,no,no2,NOx (ppb),nh3,so2,co,ozone,benzene,toluene,AT (°C),RH (%),WD (deg),BP (mmHg)
2020-01-01,30.25,64.25,22.32,40.19,39.5,2.34,8.32,0.69,42.52,3.08,173.45,23.32,74.04,269.71,724.51
2020-01-02,18.67,50.25,12.75,34.2,28.56,1.92,8.36,0.54,48.67,2.95,178.88,23.95,69.51,242.39,725.31
2020-01-03,23.12,59.04,8.89,32.13,24.33,2.35,8.42,0.5,53.44,3.24,194.16,25.02,65.69,222.83,723.98
2020-01-04,46.25,103.42,33.93,41.37,48.9,3.77,8.39,1.01,68.32,6.62,231.68,25.31,62.89,168.97,722.31
2020-01-05,45.02,84.16,4.17,29.49,19.07,3.3,8.5,0.47,89.69,3.96,256.65,25.66,63.85,198.23,721.76
2020-01-06,21.93,64.19,32.95,50.23,53.51,2.9,9.51,0.48,20.96,3.67,115.42,24.38,68.37,268.27,724.6
2020-01-07,17.56,56.42,27.58,40.65,44.06,2.06,8.25,0.6,38.75,2.53,100.02,24.54,64.98,266.2,724.28
2020-01-08,29.31,75.45,14.08,48.02,36.99,2.5,8.98,0.6,62.52,2.52,95.67,24.87,60.41,246.47,723.48
2020-01-09,36.33,91.16,19.04,51.18,42.7,3.05,8.52,0.78,78.98,2.85,96.24,24.91,59.04,247.76,723.34
2020-01-10,37.33,94.19,24.06,56.06,49.38,4.25,8.43,0.86,60.51,2.73,99.99,24.27,57.31,269.69,723.26
2020-01-11,29.64,75.06,23.22,46.97,43.86,2.87,7.62,0.59,64.19,2.43,107.39,23.11,59.12,269.56,724.32
2020-01-12,36.52,81.1,20.24,45.97,40.91,3.24,8.56,0.66,60.27,2.68,104.9,23.03,61.66,269.18,723.51
2020-01-13,54.67,114.52,29.11,61.05,56.14,3.49,8.85,1.06,76.14,4.24,106.67,23.63,60.32,243.08,722.06
2020-01-14,62.56,124.77,25.72,62.88,54.36,4.1,8.04,0.83,72.46,4.19,107.08,23.24,56.45,246.03,721.86
2020-01-15,44.26,87.31,13.72,45.8,35.52,3.59,8.51,0.53,102.33,2.78,72.97,23.42,54.72,262.81,722.22
2020-01-16,40.22,90.08,13.79,55.88,40.94,3.25,8.56,0.74,78.95,0.53,0.15,23.74,57.6,240.2,722.42
2020-01-17,32.38,80.24,23.01,50.8,45.74,2.91,8.01,0.82,77.18,0.44,8.13,24.4,55.28,255.75,722.68
2020-01-18,32.13,65.53,25.69,35.7,39.86,2.87,8.05,0.53,40.21,0.2,10.87,22.89,75.79,261.87,723.28
2020-01-19,33.845,69.78673611111111,6.3,13.8,11.68,18.15,5.972569444444444,0.74,15.33,0.19,0.6378982843137255,24.64,63.85,128.08,717.3188405797101
2020-01-20,33.845,69.78673611111111,6.3,13.8,11.68,18.15,5.972569444444444,0.74,15.33,0.19,0.6378982843137255,24.64,63.85,128.08,717.3188405797101
2020-01-21,29.0,84.0,6.3,13.8,11.68,18.15,5.2,0.74,39.47,0.19,0.6378982843137255,25.2,42.0,285.0,727.0
2020-01-22,33.845,69.78673611111111,6.3,13.8,11.68,18.15,5.972569444444444,0.74,15.33,0.19,0.6378982843137255,24.64,63.85,128.08,717.3188405797101
2020-01-23,33.845,69.78673611111111,6.3,13.8,11.68,18.15,5.972569444444444,0.74,15.33,0.19,0.6378982843137255,24.64,63.85,128.08,717.3188405797101
2020-01-24,33.845,69.78673611111111,6.3,13.8,11.68,18.15,5.972569444444444,0.74,15.33,0.19,0.6378982843137255,24.64,63.85,128.08,717.3188405797101
2020-01-25,33.845,69.78673611111111,6.3,13.8,11.68,18.15,5.972569444444444,0.74,15.33,0.19,0.6378982843137255,24.64,63.85,128.08,717.3188405797101
2020-01-26,33.845,69.78673611111111,6.3,13.8,11.68,18.15,5.972569444444444,0.74,15.33,0.19,0.6378982843137255,24.64,63.85,128.08,717.3188405797101
