date,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01,83.62,66.50038723976297,3.33,22.88,23.92,12.517657101414038,4.44,0.83,71.13,0.0,0.0,,,1.236758888508912,0.610732243847403,,50.86,0.4,101.91,,,144.74,985.49,0.08
2019-01-02,58.04,66.50038723976297,3.24,19.32,22.56,12.517657101414038,4.0,0.64,69.9,0.0,0.0,,,1.236758888508912,0.610732243847403,,53.04,0.52,87.64,,,137.97,986.64,0.08
2019-01-03,58.9,66.50038723976297,3.79,21.32,25.11,12.517657101414038,4.1,0.55,61.29,0.0,0.0,,,1.236758888508912,0.610732243847403,,50.53,0.52,96.57,,,141.51,985.29,0.08
2019-01-04,65.31,66.50038723976297,4.88,23.25,28.13,12.517657101414038,3.86,0.66,59.17,0.0,0.0,,,1.236758888508912,0.610732243847403,,47.02,0.48,91.69,,,129.48,983.46,0.08
2019-01-05,69.05,66.50038723976297,9.13,25.95,27.93,12.517657101414038,4.59,0.59,65.95,0.07,0.12,,,0.09,0.610732243847403,,57.94,0.55,96.47,,,51.27,989.26,0.08
2019-01-06,71.02,66.50038723976297,2.96,16.22,19.16,12.517657101414038,4.19,0.46,72.81,0.16,0.28,,,0.21,0.610732243847403,,58.58,0.55,106.97,,,140.73,989.51,0.08
2019-01-07,77.56,66.50038723976297,4.21,25.02,29.22,12.517657101414038,4.55,0.58,60.97,0.0,0.0,,,1.236758888508912,0.610732243847403,,57.84,0.41,99.9,,,144.9,989.12,0.08
2019-01-08,73.99,66.50038723976297,11.3,37.08,48.38,12.517657101414038,4.93,0.62,52.61,0.3,0.54,,,0.41,0.610732243847403,,43.96,0.27,119.51,,,140.21,981.83,0.08
2019-01-09,71.52,66.50038723976297,8.76,30.99,39.48,12.517657101414038,5.08,0.43,60.39,0.39,0.7,,,0.53,0.610732243847403,,38.12,0.34,102.9,,,145.32,978.78,0.08
2019-01-10,75.6,66.50038723976297,3.68,22.98,26.66,12.517657101414038,4.75,0.89,70.5,0.03,0.06,,,0.05,0.610732243847403,,48.1,0.55,100.63,,,141.89,984.02,0.08
