date,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg)
2020-01-01,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-02,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-03,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-04,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-05,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-06,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-07,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-08,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-09,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-10,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-11,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-12,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-13,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-14,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-15,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-16,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-17,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-18,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-19,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-20,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-21,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-22,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-23,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
2020-01-24,43.844600694444445,85.64076388888888,4.73,10.021249999999998,8.342604166666666,10.229895833333334,3.5704166666666666,0.6520312500000001,31.32479166666667,0.2323958333333333,0.34125,0.01,0.3237053571428571,24.5953125,66.86291666666666,0.8071875,136.34927083333335,0.0,0.0,168.3353125,906.1192708333332
