date,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),TOT-RF (mm),BP (mmHg)
2020-01-01,28.134861111111118,77.79,1.65,23.99,14.49,12.24,5.434073464912281,0.67,29.86,0.22,1.03,23.93,67.68,1.4,160.84,0.0,712.31
2020-01-02,43.67,134.0,6.63,20.28,16.21,10.98,3.41,0.91,21.82,2.07,2.47,22.59,73.64,1.02,97.88,0.0,720.88
2020-01-03,30.58,74.42,2.44,15.17,10.04,12.1,3.27,0.96,23.31,2.01,1.55,24.61,66.33,1.4,107.56,0.0,718.6
2020-01-04,66.35,155.68,75.8,42.9,94.71,11.75,3.26,2.54,29.7,2.15,2.42,24.86,62.16,1.29,167.92,0.0,717.08
2020-01-05,48.0,99.13,1.89,18.56,11.4,9.79,2.95,1.14,31.01,2.02,1.2,25.66,59.3,2.11,96.21,0.0,716.52
2020-01-06,23.75,63.34,3.9,17.21,12.32,7.4,2.82,1.08,25.82,2.0,1.07,23.97,68.04,1.81,82.69,0.0,719.31
2020-01-07,24.67,72.0,4.22,17.2,12.44,7.66,2.97,0.98,30.37,2.01,1.05,23.32,68.49,1.81,84.77,0.0,718.78
2020-01-08,34.18,79.06,1.97,18.16,11.11,9.35,2.99,0.99,29.61,1.82,1.33,23.75,64.03,1.63,99.57,0.0,718.03
2020-01-09,41.61,98.0,5.2,21.49,15.15,11.21,2.98,1.11,30.97,2.01,1.65,23.77,62.34,1.41,89.67,0.0,717.67
2020-01-10,38.95,97.7,2.94,19.77,13.0,12.8,3.34,0.97,31.89,1.88,1.98,24.08,52.93,2.15,80.79,0.0,718.51
2020-01-11,34.05,77.56,3.34,21.34,14.06,12.08,3.07,1.01,34.36,1.56,1.83,22.11,62.43,2.08,76.49,0.0,721.37
2020-01-12,39.12,75.93,4.14,17.88,13.05,16.07,2.96,0.96,44.84,1.5,1.81,22.09,66.53,1.85,83.12,0.0,718.61
2020-01-13,28.134861111111118,77.79,1.65,23.99,14.49,12.24,5.434073464912281,0.67,29.86,0.22,1.03,23.93,67.68,1.4,160.84,0.0,712.31
